timestep,population,phi,delta_phi,entropy,resource_concentration,reward_drift,agent_dominance,phi_resource_contribution,phi_reward_drift_contribution,phi_dominance_contribution,dominant_lineage_id,dominant_lineage_type,dominant_lineage_count
0,19,0.112974,0.0,0.993172,0.149236,0.08332,0.105263,0.052233,0.029162,0.031579,pp-0014,mutating,2
1,30,0.18028,0.067306,0.973295,0.195367,0.205431,0.133333,0.068379,0.071901,0.04,pp-0014,mutating,4
2,30,0.218282,0.038002,0.977135,0.231248,0.27813,0.133333,0.080937,0.097345,0.04,pp-0014,mutating,4
3,30,0.259658,0.041376,0.981934,0.283201,0.344393,0.133333,0.09912,0.120538,0.04,pp-0014,mutating,4
4,27,0.245122,-0.014536,0.986818,0.280959,0.324151,0.111111,0.098336,0.113453,0.033333,pp-0014,mutating,3
5,26,0.261917,0.016795,0.990494,0.349975,0.29946,0.115385,0.122491,0.104811,0.034615,pp-0014,mutating,3
6,19,0.217857,-0.04406,0.990821,0.224889,0.307336,0.105263,0.078711,0.107567,0.031579,pp-0014,mutating,2
7,16,0.152575,-0.065282,0.981449,0.175508,0.182498,0.09091,0.061428,0.063874,0.027273,pp-0009,selfish,1
8,16,0.195471,0.042896,0.947139,0.286152,0.182488,0.104822,0.100153,0.063871,0.031447,pp-0009,selfish,1
9,10,0.225121,0.02965,0.911482,0.234096,0.291965,0.136662,0.081934,0.102188,0.040999,pp-0009,selfish,1
10,8,0.187312,-0.037809,0.99791,0.050583,0.364945,0.139592,0.017704,0.127731,0.041877,pp-0015,mutating,1
11,8,0.207261,0.019949,0.993473,0.088937,0.364938,0.16135,0.031128,0.127728,0.048405,pp-0015,mutating,1
12,8,0.26427,0.057009,0.965156,0.211529,0.364931,0.208364,0.074035,0.127726,0.062509,pp-0015,mutating,1
13,8,0.393829,0.129559,0.789593,0.49389,0.364924,0.310813,0.172862,0.127723,0.093244,pp-0015,mutating,1
14,3,0.491791,0.097962,0.984568,0.094868,0.973117,0.393321,0.033204,0.340591,0.117996,pp-0015,mutating,1
15,3,0.465604,-0.026187,0.995835,0.047766,0.973248,0.360831,0.016718,0.340637,0.108249,pp-0015,mutating,1
16,3,0.4512,-0.014404,0.999096,0.020983,0.973379,0.34391,0.007344,0.340683,0.103173,pp-0014,mutating,1
17,3,0.449691,-0.001509,0.999393,0.017623,0.973509,0.342648,0.006168,0.340728,0.102795,pp-0014,mutating,1
18,3,0.447384,-0.002307,0.999652,0.013132,0.973637,0.340048,0.004596,0.340773,0.102015,pp-0015,mutating,1
19,3,0.446269,-0.001115,0.999861,0.009514,0.973764,0.340403,0.00333,0.340818,0.102121,pp-0014,mutating,1
20,3,0.446,-0.000269,0.999878,0.008896,0.97389,0.340084,0.003113,0.340862,0.102025,pp-0014,mutating,1
21,3,0.444708,-0.001292,0.999934,0.006048,0.974015,0.338955,0.002117,0.340905,0.101686,pp-0014,mutating,1
22,3,0.445008,0.0003,0.999926,0.006902,0.974139,0.338809,0.002416,0.340949,0.101643,pp-0014,mutating,1
23,9,0.496594,0.051586,0.999931,0.153985,0.974261,0.339027,0.053895,0.340991,0.101708,pp-0014,mutating,3
24,9,0.504846,0.008252,0.999887,0.177009,0.973377,0.340705,0.061953,0.340682,0.102211,pp-0014,mutating,3
25,9,0.517149,0.012303,0.999855,0.211648,0.973312,0.341376,0.074077,0.340659,0.102413,pp-0014,mutating,3
26,9,0.534001,0.016852,0.999779,0.25831,0.973253,0.343182,0.090408,0.340638,0.102955,pp-0014,mutating,3
27,9,0.559262,0.025261,0.999767,0.330272,0.973193,0.343495,0.115595,0.340618,0.103049,pp-0014,mutating,3
28,6,0.507779,-0.051483,0.999708,0.18202,0.973207,0.344831,0.063707,0.340623,0.103449,pp-0014,mutating,2
29,6,0.512339,0.00456,0.999667,0.194603,0.973195,0.345366,0.068111,0.340618,0.10361,pp-0014,mutating,2
30,6,0.515774,0.003435,0.999627,0.205121,0.973184,0.344561,0.071792,0.340614,0.103368,pp-0014,mutating,2
31,6,0.517963,0.002189,0.999532,0.21385,0.973172,0.341682,0.074848,0.34061,0.102505,pp-0014,mutating,2
32,6,0.527239,0.009276,0.999488,0.239369,0.973161,0.342847,0.083779,0.340606,0.102854,pp-0014,mutating,2
33,6,0.529996,0.002757,0.999671,0.249156,0.973149,0.340631,0.087205,0.340602,0.102189,pp-0014,mutating,2
34,6,0.538553,0.008557,0.999337,0.271843,0.973138,0.3427,0.095145,0.340598,0.10281,pp-0014,mutating,2
35,6,0.547923,0.00937,0.99941,0.298692,0.973126,0.342624,0.104542,0.340594,0.102787,pp-0014,mutating,2
36,6,0.556124,0.008201,0.999736,0.323567,0.973115,0.340952,0.113248,0.34059,0.102286,pp-0014,mutating,2
37,6,0.56973,0.013606,0.999718,0.359085,0.973103,0.344878,0.12568,0.340586,0.103464,pp-0014,mutating,2
38,6,0.583139,0.013409,0.999834,0.401516,0.973092,0.340086,0.140531,0.340582,0.102026,pp-0014,mutating,2
39,6,0.605479,0.02234,0.999047,0.460138,0.97308,0.346178,0.161048,0.340578,0.103853,pp-0015,mutating,2
40,5,0.598544,-0.006935,0.999441,0.394184,0.973085,0.4,0.137964,0.34058,0.12,pp-0015,mutating,2
41,5,0.578831,-0.019713,0.999052,0.337842,0.973102,0.4,0.118245,0.340586,0.12,pp-0015,mutating,2
42,5,0.567366,-0.011465,0.997561,0.305068,0.97312,0.4,0.106774,0.340592,0.12,pp-0015,mutating,2
43,5,0.558508,-0.008858,0.995741,0.279743,0.973137,0.4,0.09791,0.340598,0.12,pp-0015,mutating,2
44,5,0.548555,-0.009953,0.994418,0.251288,0.973154,0.4,0.087951,0.340604,0.12,pp-0015,mutating,2
45,5,0.539284,-0.009271,0.993464,0.224784,0.973172,0.4,0.078674,0.34061,0.12,pp-0015,mutating,2
46,5,0.534806,-0.004478,0.991263,0.211972,0.973189,0.4,0.07419,0.340616,0.12,pp-0015,mutating,2
47,5,0.52915,-0.005656,0.989438,0.195793,0.973206,0.4,0.068528,0.340622,0.12,pp-0015,mutating,2
48,5,0.525006,-0.004144,0.987641,0.183937,0.973223,0.4,0.064378,0.340628,0.12,pp-0015,mutating,2
49,5,0.520975,-0.004031,0.987137,0.172404,0.97324,0.4,0.060341,0.340634,0.12,pp-0015,mutating,2
50,5,0.518787,-0.002188,0.98689,0.166133,0.973258,0.4,0.058147,0.34064,0.12,pp-0015,mutating,2
51,5,0.517068,-0.001719,0.985042,0.161206,0.973275,0.4,0.056422,0.340646,0.12,pp-0015,mutating,2
52,5,0.513808,-0.00326,0.982329,0.151873,0.973292,0.4,0.053156,0.340652,0.12,pp-0015,mutating,2
53,5,0.51111,-0.002698,0.980358,0.144147,0.973309,0.4,0.050452,0.340658,0.12,pp-0015,mutating,2
54,5,0.508677,-0.002433,0.979552,0.137179,0.973326,0.4,0.048013,0.340664,0.12,pp-0015,mutating,2
