timestep,population,phi,delta_phi,entropy,resource_concentration,reward_drift,agent_dominance,phi_resource_contribution,phi_reward_drift_contribution,phi_dominance_contribution,dominant_lineage_id,dominant_lineage_type,dominant_lineage_count
0,19,0.102327,0.0,0.993172,0.149236,0.052901,0.105263,0.052233,0.018515,0.031579,pp-0014,mutating,2
1,30,0.154687,0.05236,0.973597,0.1958,0.131878,0.133333,0.06853,0.046157,0.04,pp-0014,mutating,4
2,30,0.184167,0.02948,0.977496,0.231915,0.179992,0.133333,0.08117,0.062997,0.04,pp-0014,mutating,4
3,30,0.218107,0.03394,0.98234,0.28425,0.224629,0.133333,0.099487,0.07862,0.04,pp-0014,mutating,4
4,27,0.21076,-0.007347,0.987147,0.281819,0.225115,0.111111,0.098637,0.07879,0.033333,pp-0014,mutating,3
5,26,0.241297,0.030537,0.990712,0.350773,0.239749,0.115385,0.12277,0.083912,0.034615,pp-0014,mutating,3
6,19,0.209395,-0.031902,0.991081,0.22794,0.280105,0.105263,0.079779,0.098037,0.031579,pp-0014,mutating,2
7,16,0.152665,-0.05673,0.981557,0.175436,0.182211,0.091628,0.061403,0.063774,0.027488,pp-0009,selfish,1
8,16,0.195355,0.04269,0.948374,0.285255,0.182306,0.105698,0.099839,0.063807,0.031709,pp-0009,selfish,1
9,11,0.242612,0.047257,0.87982,0.309192,0.265165,0.138623,0.108217,0.092808,0.041587,pp-0009,selfish,1
10,8,0.184354,-0.058258,0.997634,0.046914,0.364593,0.134425,0.01642,0.127607,0.040327,pp-0009,selfish,1
11,8,0.203673,0.019319,0.994934,0.08023,0.364589,0.159956,0.02808,0.127606,0.047987,pp-0015,mutating,1
12,8,0.25898,0.055307,0.968398,0.201961,0.364585,0.202297,0.070686,0.127605,0.060689,pp-0015,mutating,1
13,7,0.39034,0.13136,0.826841,0.43324,0.416663,0.309578,0.151634,0.145832,0.092874,pp-0015,mutating,1
14,3,0.451399,0.061059,0.999455,0.018481,0.972209,0.348859,0.006468,0.340273,0.104658,pp-0015,mutating,1
15,3,0.444812,-0.006587,0.999906,0.007841,0.972296,0.339218,0.002744,0.340303,0.101765,pp-0015,mutating,1
16,3,0.443612,-0.0012,0.999952,0.005593,0.972383,0.337738,0.001957,0.340334,0.101321,pp-0016,mutating,1
17,3,0.441969,-0.001643,0.999983,0.003082,0.97247,0.335088,0.001079,0.340364,0.100526,pp-0016,mutating,1
18,3,0.441918,-5.1e-05,0.99999,0.002577,0.972556,0.335405,0.000902,0.340395,0.100621,pp-0016,mutating,1
19,3,0.444888,0.00297,0.999891,0.008189,0.972641,0.338659,0.002866,0.340424,0.101598,pp-0016,mutating,1
20,3,0.444107,-0.000781,0.999918,0.0069,0.972727,0.33746,0.002415,0.340454,0.101238,pp-0016,mutating,1
