timestep,population,phi,delta_phi,entropy,resource_concentration,reward_drift,agent_dominance,phi_resource_contribution,phi_reward_drift_contribution,phi_dominance_contribution,dominant_lineage_id,dominant_lineage_type,dominant_lineage_count
0,19,0.084278,0.0,0.993172,0.149236,0.001331,0.105263,0.052233,0.000466,0.031579,pp-0014,mutating,2
1,27,0.083698,-0.00058,0.97411,0.1411,0.002801,0.111111,0.049385,0.00098,0.033333,pp-0014,mutating,3
2,27,0.091935,0.008237,0.975096,0.163472,0.003962,0.111111,0.057215,0.001387,0.033333,pp-0014,mutating,3
3,27,0.103092,0.011157,0.976361,0.194234,0.005077,0.111111,0.067982,0.001777,0.033333,pp-0014,mutating,3
4,27,0.119041,0.015949,0.978086,0.238733,0.006145,0.111111,0.083557,0.002151,0.033333,pp-0014,mutating,3
5,26,0.136378,0.017337,0.980658,0.284077,0.006673,0.115385,0.099427,0.002336,0.034615,pp-0014,mutating,3
6,19,0.074442,-0.061936,0.978712,0.114466,0.008,0.105263,0.040063,0.0028,0.031579,pp-0014,mutating,2
7,19,0.09346,0.019018,0.968356,0.167256,0.008954,0.105954,0.05854,0.003134,0.031786,pp-0014,mutating,2
8,19,0.131391,0.037931,0.938447,0.268928,0.009876,0.112698,0.094125,0.003456,0.03381,pp-0014,mutating,2
9,14,0.173712,0.042321,0.882417,0.359262,0.014608,0.142857,0.125742,0.005113,0.042857,pp-0014,mutating,2
10,11,0.16846,-0.005252,0.989916,0.305395,0.020076,0.181818,0.106888,0.007027,0.054545,pp-0014,mutating,2
11,7,0.152954,-0.015506,0.930439,0.249035,0.011307,0.206118,0.087162,0.003957,0.061835,pp-0009,selfish,1
12,7,0.188918,0.035964,0.889723,0.31909,0.012081,0.24336,0.111682,0.004228,0.073008,pp-0012,selfish,1
13,3,0.200644,0.011726,0.955275,0.163129,0.030014,0.443479,0.057095,0.010505,0.133044,pp-0015,mutating,1
14,3,0.220441,0.019797,0.948599,0.174666,0.031899,0.49381,0.061133,0.011165,0.148143,pp-0010,selfish,1
15,3,0.138352,-0.082089,0.996933,0.04374,0.033915,0.370576,0.015309,0.01187,0.111173,pp-0010,selfish,1
16,3,0.123876,-0.014476,0.999372,0.020068,0.036062,0.347432,0.007024,0.012622,0.10423,pp-0015,mutating,1
17,3,0.143556,0.01968,0.994658,0.056058,0.038344,0.368388,0.01962,0.01342,0.110516,pp-0015,mutating,1
18,3,0.153485,0.009929,0.989409,0.075256,0.040759,0.376263,0.02634,0.014266,0.112879,pp-0015,mutating,1
19,3,0.162119,0.008634,0.983684,0.091204,0.04331,0.383463,0.031921,0.015159,0.115039,pp-0015,mutating,1
20,3,0.170264,0.008145,0.978976,0.104378,0.045995,0.392115,0.036532,0.016098,0.117634,pp-0015,mutating,1
21,5,0.196986,0.026722,0.974524,0.161383,0.058578,0.4,0.056484,0.020502,0.12,pp-0014,mutating,2
22,5,0.178578,-0.018408,0.958749,0.098709,0.06136,0.408512,0.034548,0.021476,0.122554,pp-0015,mutating,2
23,5,0.161724,-0.016854,0.957609,0.047549,0.064159,0.408754,0.016642,0.022456,0.122626,pp-0015,mutating,2
24,5,0.15246,-0.009264,0.9549,0.01618,0.066977,0.411182,0.005663,0.023442,0.123355,pp-0015,mutating,2
25,5,0.161546,0.009086,0.958026,0.033068,0.069807,0.418466,0.011574,0.024432,0.12554,pp-0014,mutating,2
26,5,0.15202,-0.009526,0.953352,0.013271,0.072659,0.406481,0.004645,0.025431,0.121944,pp-0014,mutating,2
27,5,0.14973,-0.00229,0.964277,0.009432,0.075511,0.4,0.003301,0.026429,0.12,pp-0014,mutating,2
28,5,0.17106,0.02133,0.94477,0.042503,0.078406,0.429138,0.014876,0.027442,0.128742,pp-0014,mutating,2
29,5,0.161141,-0.009919,0.949507,0.025269,0.081311,0.412793,0.008844,0.028459,0.123838,pp-0015,mutating,2
30,5,0.174612,0.013471,0.948839,0.042366,0.08423,0.434345,0.014828,0.029481,0.130303,pp-0015,mutating,2
31,5,0.169978,-0.004634,0.945876,0.037527,0.087171,0.421113,0.013134,0.03051,0.126334,pp-0014,mutating,2
32,5,0.168325,-0.001653,0.94741,0.030917,0.090126,0.419868,0.010821,0.031544,0.12596,pp-0015,mutating,2
33,5,0.171408,0.003083,0.950083,0.039477,0.093093,0.416693,0.013817,0.032583,0.125008,pp-0014,mutating,2
34,5,0.169878,-0.00153,0.947094,0.03069,0.09608,0.418363,0.010741,0.033628,0.125509,pp-0014,mutating,2
35,5,0.170005,0.000127,0.949945,0.028479,0.099077,0.417865,0.009968,0.034677,0.12536,pp-0015,mutating,2
36,5,0.175941,0.005936,0.946388,0.040312,0.102096,0.420325,0.014109,0.035734,0.126098,pp-0015,mutating,2
37,5,0.17243,-0.003511,0.948269,0.029491,0.105128,0.417709,0.010322,0.036795,0.125313,pp-0014,mutating,2
38,5,0.175823,0.003393,0.949127,0.034902,0.108173,0.419154,0.012216,0.037861,0.125746,pp-0015,mutating,2
39,5,0.17769,0.001867,0.945947,0.035153,0.111239,0.421507,0.012304,0.038934,0.126452,pp-0015,mutating,2
40,5,0.174105,-0.003585,0.948454,0.02741,0.114316,0.415004,0.009593,0.040011,0.124501,pp-0014,mutating,2
41,5,0.18089,0.006785,0.9496,0.038798,0.117406,0.420731,0.013579,0.041092,0.126219,pp-0015,mutating,2
42,5,0.180586,-0.000304,0.946538,0.033306,0.120517,0.422494,0.011657,0.042181,0.126748,pp-0015,mutating,2
43,5,0.177305,-0.003281,0.948839,0.02881,0.123639,0.41316,0.010083,0.043274,0.123948,pp-0014,mutating,2
44,5,0.18084,0.003535,0.946671,0.035605,0.12678,0.413351,0.012462,0.044373,0.124005,pp-0014,mutating,2
45,6,0.247443,0.066603,0.948272,0.142949,0.13546,0.5,0.050032,0.047411,0.15,pp-0015,mutating,3
46,6,0.242369,-0.005074,0.944112,0.125403,0.138509,0.5,0.043891,0.048478,0.15,pp-0015,mutating,3
47,6,0.240623,-0.001746,0.937811,0.11737,0.141552,0.5,0.04108,0.049543,0.15,pp-0015,mutating,3
48,6,0.242605,0.001982,0.93049,0.119994,0.144592,0.5,0.041998,0.050607,0.15,pp-0015,mutating,3
49,6,0.243221,0.000616,0.925324,0.118719,0.147627,0.5,0.041552,0.051669,0.15,pp-0015,mutating,3
50,6,0.243762,0.000541,0.916965,0.117234,0.150656,0.5,0.041032,0.05273,0.15,pp-0015,mutating,3
51,6,0.244181,0.000419,0.907434,0.115408,0.15368,0.5,0.040393,0.053788,0.15,pp-0015,mutating,3
52,6,0.245123,0.000942,0.900809,0.11508,0.156699,0.5,0.040278,0.054845,0.15,pp-0015,mutating,3
53,6,0.245293,0.00017,0.889559,0.112551,0.159713,0.5,0.039393,0.0559,0.15,pp-0015,mutating,3
54,6,0.247794,0.002501,0.876687,0.111992,0.162722,0.50548,0.039197,0.056953,0.151644,pp-0015,mutating,3
55,6,0.249325,0.001531,0.86813,0.118059,0.165727,0.5,0.041321,0.058004,0.15,pp-0015,mutating,3
